2024-09-18 22:37:17 | __main__.wiki_web.__init__ | INFO | Wiki Web initialized.
2024-09-18 22:37:17 | __main__.wiki_web.load_web | WARNING | outputs/wiki_web.tsv does not exist and hasn't been loaded.
2024-09-18 22:37:17 | __main__.wiki_web.add_seeds | INFO | Adding 500 seed(s).
2024-09-18 22:40:20 | __main__.wiki_web.build_web | INFO | Building the web.
2024-09-18 22:40:20 | __main__.wiki_web.build_web | INFO | [  1] Clicking through https://en.wikipedia.org/wiki/Edwin_Wolf
2024-09-18 22:40:20 | __main__.wiki_page.get_first_link | DEBUG | https://en.wikipedia.org/wiki/Edwin_Wolf
2024-09-18 22:40:20 | __main__.wiki_page.get_first_link | DEBUG | https://en.wikipedia.org/wiki/Uhrichsville,_Ohio
2024-09-18 22:40:20 | __main__.wiki_page.get_first_link | DEBUG | https://en.wikipedia.org/wiki/Tuscarawas_County,_Ohio
2024-09-18 22:40:21 | __main__.wiki_page.get_first_link | DEBUG | https://en.wikipedia.org/wiki/County_(United_States)
2024-09-18 22:40:21 | __main__.wiki_page.get_first_link | DEBUG | https://en.wikipedia.org/wiki/United_States
2024-09-18 22:40:22 | __main__.wiki_page.get_first_link | DEBUG | https://en.wikipedia.org/wiki/North_America
2024-09-18 22:40:23 | __main__.wiki_page.get_first_link | DEBUG | https://en.wikipedia.org/wiki/Continent
2024-09-18 22:40:23 | __main__.wiki_page.get_first_link | DEBUG | https://en.wikipedia.org/wiki/Convention_(norm)
2024-09-18 22:40:23 | __main__.wiki_page.get_first_link | DEBUG | https://en.wikipedia.org/wiki/Social_norm
2024-09-18 22:40:24 | __main__.wiki_page.get_first_link | DEBUG | https://en.wikipedia.org/wiki/Acceptance
2024-09-18 22:40:24 | __main__.wiki_page.get_first_link | DEBUG | https://en.wikipedia.org/wiki/Psychology
2024-09-18 22:40:25 | __main__.wiki_page.get_first_link | DEBUG | https://en.wikipedia.org/wiki/Mind
2024-09-18 22:40:26 | __main__.wiki_page.get_first_link | DEBUG | https://en.wikipedia.org/wiki/Thought
2024-09-18 22:40:26 | __main__.wiki_page.get_first_link | DEBUG | https://en.wikipedia.org/wiki/Cognition
2024-09-18 22:40:26 | __main__.wiki_page.get_first_link | DEBUG | https://en.wikipedia.org/wiki/Action_(philosophy)
2024-09-18 22:40:27 | __main__.wiki_page.get_first_link | DEBUG | https://en.wikipedia.org/wiki/Philosophy
2024-09-18 22:40:27 | __main__.wiki_page.get_first_link | DEBUG | https://en.wikipedia.org/wiki/Existence
2024-09-18 22:40:28 | __main__.wiki_page.get_first_link | DEBUG | https://en.wikipedia.org/wiki/Reality
2024-09-18 22:40:28 | __main__.wiki_page.get_first_link | DEBUG | https://en.wikipedia.org/wiki/Universe
2024-09-18 22:40:29 | __main__.wiki_page.get_first_link | DEBUG | https://en.wikipedia.org/wiki/Space
2024-09-18 22:40:29 | __main__.wiki_page.get_first_link | DEBUG | https://en.wikipedia.org/wiki/Three-dimensional_space
2024-09-18 22:40:29 | __main__.wiki_page.get_first_link | DEBUG | https://en.wikipedia.org/wiki/Geometry
2024-09-18 22:40:30 | __main__.wiki_page.get_first_link | DEBUG | https://en.wikipedia.org/wiki/Mathematics
2024-09-18 22:40:31 | __main__.wiki_page.get_first_link | DEBUG | https://en.wikipedia.org/wiki/Mathematical_theory
2024-09-18 22:40:31 | __main__.wiki_page.get_first_link | DEBUG | https://en.wikipedia.org/wiki/Reason
2024-09-18 22:40:31 | __main__.wiki_page.get_first_link | DEBUG | https://en.wikipedia.org/wiki/Consciousness
2024-09-18 22:40:32 | __main__.wiki_page.get_first_link | DEBUG | https://en.wikipedia.org/wiki/Awareness
2024-09-18 22:40:32 | __main__.wiki_web._add_page | DEBUG | Stopping at https://en.wikipedia.org/wiki/Philosophy
2024-09-18 22:40:32 | __main__.wiki_web.build_web | INFO | [  2] Clicking through https://en.wikipedia.org/wiki/2024_Team_Bahrain_Victorious_season
2024-09-18 22:40:32 | __main__.wiki_page.get_first_link | DEBUG | https://en.wikipedia.org/wiki/2024_Team_Bahrain_Victorious_season
2024-09-18 22:40:32 | __main__.wiki_page.get_first_link | DEBUG | https://en.wikipedia.org/wiki/Team_Bahrain_Victorious
2024-09-18 22:40:33 | __main__.wiki_page.get_first_link | DEBUG | https://en.wikipedia.org/wiki/UCI_WorldTeam
2024-09-18 22:40:33 | __main__.wiki_page.get_first_link | DEBUG | https://en.wikipedia.org/wiki/Union_Cycliste_Internationale
2024-09-18 22:40:33 | __main__.wiki_page.get_first_link | DEBUG | https://en.wikipedia.org/wiki/Sport_governing_body
2024-09-18 22:40:33 | __main__.wiki_page.get_first_link | DEBUG | https://en.wikipedia.org/wiki/Sport
2024-09-18 22:40:34 | __main__.wiki_page.get_first_link | DEBUG | https://en.wikipedia.org/wiki/Physical_activity
2024-09-18 22:40:34 | __main__.wiki_page.get_first_link | DEBUG | https://en.wikipedia.org/wiki/Skeletal_muscle
2024-09-18 22:40:34 | __main__.wiki_page.get_first_link | DEBUG | https://en.wikipedia.org/wiki/Vertebrate
2024-09-18 22:40:35 | __main__.wiki_page.get_first_link | DEBUG | https://en.wikipedia.org/wiki/Deuterostoma
2024-09-18 22:40:35 | __main__.wiki_page.get_first_link | DEBUG | https://en.wikipedia.org/wiki/Bilaterian
2024-09-18 22:40:36 | __main__.wiki_page.get_first_link | DEBUG | https://en.wikipedia.org/wiki/Clade
2024-09-18 22:40:36 | __main__.wiki_page.get_first_link | DEBUG | https://en.wikipedia.org/wiki/Phylogenetics
2024-09-18 22:40:36 | __main__.wiki_page.get_first_link | DEBUG | https://en.wikipedia.org/wiki/Biology
2024-09-18 22:40:37 | __main__.wiki_page.get_first_link | DEBUG | https://en.wikipedia.org/wiki/Life
2024-09-18 22:40:37 | __main__.wiki_page.get_first_link | DEBUG | https://en.wikipedia.org/wiki/Matter
2024-09-18 22:40:38 | __main__.wiki_page.get_first_link | DEBUG | https://en.wikipedia.org/wiki/Classical_physics
2024-09-18 22:40:38 | __main__.wiki_page.get_first_link | DEBUG | https://en.wikipedia.org/wiki/Physics
2024-09-18 22:40:38 | __main__.wiki_page.get_first_link | DEBUG | https://en.wikipedia.org/wiki/Natural_science
2024-09-18 22:40:39 | __main__.wiki_page.get_first_link | DEBUG | https://en.wikipedia.org/wiki/Branches_of_science
2024-09-18 22:40:39 | __main__.wiki_page.get_first_link | DEBUG | https://en.wikipedia.org/wiki/Science
2024-09-18 22:40:40 | __main__.wiki_page.get_first_link | DEBUG | https://en.wikipedia.org/wiki/Scientific_method
2024-09-18 22:40:40 | __main__.wiki_page.get_first_link | DEBUG | https://en.wikipedia.org/wiki/Empirical_evidence
2024-09-18 22:40:40 | __main__.wiki_page.get_first_link | DEBUG | https://en.wikipedia.org/wiki/Evidence
2024-09-18 22:40:41 | __main__.wiki_page.get_first_link | DEBUG | https://en.wikipedia.org/wiki/Proposition
2024-09-18 22:40:41 | __main__.wiki_page.get_first_link | DEBUG | https://en.wikipedia.org/wiki/Philosophy_of_language
2024-09-18 22:40:41 | __main__.wiki_page.get_first_link | DEBUG | https://en.wikipedia.org/wiki/Language
2024-09-18 22:40:42 | __main__.wiki_page.get_first_link | DEBUG | https://en.wikipedia.org/wiki/Communication
2024-09-18 22:40:42 | __main__.wiki_page.get_first_link | DEBUG | https://en.wikipedia.org/wiki/Information
2024-09-18 22:40:42 | __main__.wiki_page.get_first_link | DEBUG | https://en.wikipedia.org/wiki/Abstraction
2024-09-18 22:40:43 | __main__.wiki_page.get_first_link | DEBUG | https://en.wikipedia.org/wiki/Rule_of_inference
2024-09-18 22:40:43 | __main__.wiki_page.get_first_link | DEBUG | https://en.wikipedia.org/wiki/Logic
2024-09-18 22:40:43 | __main__.wiki_page.get_first_link | DEBUG | https://en.wikipedia.org/wiki/Logical_reasoning
2024-09-18 22:40:44 | __main__.wiki_page.get_first_link | DEBUG | https://en.wikipedia.org/wiki/Logical_consequence
2024-09-18 22:40:44 | __main__.wiki_page.get_first_link | DEBUG | https://en.wikipedia.org/wiki/Concept
2024-09-18 22:40:44 | __main__.wiki_web._add_page | DEBUG | Stopping at https://en.wikipedia.org/wiki/Abstraction
2024-09-18 22:40:44 | __main__.wiki_web.build_web | INFO | [  3] Clicking through https://en.wikipedia.org/wiki/Karate_at_the_2006_Asian_Games_%E2%80%93_Women%27s_kata
2024-09-18 22:40:44 | __main__.wiki_page.get_first_link | DEBUG | https://en.wikipedia.org/wiki/Karate_at_the_2006_Asian_Games_%E2%80%93_Women%27s_kata
2024-09-18 22:40:44 | __main__.wiki_page.get_first_link | DEBUG | https://en.wikipedia.org/wiki/Kata
2024-09-18 22:40:45 | __main__.wiki_page.get_first_link | DEBUG | https://en.wikipedia.org/wiki/Choreograph
2024-09-18 22:40:45 | __main__.wiki_page.get_first_link | DEBUG | https://en.wikipedia.org/wiki/Sequence
2024-09-18 22:40:45 | __main__.wiki_web._add_page | DEBUG | Stopping at https://en.wikipedia.org/wiki/Mathematics
2024-09-18 22:40:45 | __main__.wiki_web.build_web | INFO | [  4] Clicking through https://en.wikipedia.org/wiki/Titans_season_2
2024-09-18 22:40:45 | __main__.wiki_page.get_first_link | DEBUG | https://en.wikipedia.org/wiki/Titans_season_2
2024-09-18 22:40:45 | __main__.wiki_page.get_first_link | DEBUG | https://en.wikipedia.org/wiki/Superhero_fiction
2024-09-18 22:40:46 | __main__.wiki_page.get_first_link | DEBUG | https://en.wikipedia.org/wiki/Speculative_fiction
2024-09-18 22:40:46 | __main__.wiki_page.get_first_link | DEBUG | https://en.wikipedia.org/wiki/Umbrella_term
2024-09-18 22:40:46 | __main__.wiki_page.get_first_link | DEBUG | https://en.wikipedia.org/wiki/Subset
2024-09-18 22:40:47 | __main__.wiki_page.get_first_link | DEBUG | https://en.wikipedia.org/wiki/Set_(mathematics)
2024-09-18 22:40:47 | __main__.wiki_web._add_page | DEBUG | Stopping at https://en.wikipedia.org/wiki/Mathematics
